gene,r_squared
ENSG00000290825.2,0.8748706487299375
ENSG00000223972.6,
ENSG00000310526.1,0.9089572080615892
ENSG00000243485.6,0.9141912315812629
ENSG00000237613.3,0.8966571208217857
ENSG00000308361.1,0.23449464171680956
ENSG00000290826.2,0.8630916137821243
ENSG00000268020.3,0.8640791991031034
ENSG00000186092.7,0.992786737129829
ENSG00000241860.8,0.9313457144860852
ENSG00000308314.1,0.820927609413781
ENSG00000233750.3,0.8943529691755334
ENSG00000308579.1,0.9089104984787648
ENSG00000268903.1,0.7676751553909296
ENSG00000269981.1,0.9016800883338829
ENSG00000239906.1,0.889298899467965
ENSG00000222623.1,
ENSG00000241599.1,
ENSG00000308415.1,0.9949794924207223
ENSG00000310527.1,0.9140714974572522
ENSG00000308625.1,0.8330345299327687
ENSG00000308544.1,
ENSG00000292994.2,0.9455552761728445
ENSG00000286448.2,0.9392863930436711
ENSG00000236679.2,
ENSG00000236601.3,0.9401262310923746
ENSG00000290385.2,0.920958217421057
ENSG00000269732.1,0.8949176856818084
ENSG00000284733.2,0.827081001852364
ENSG00000233653.3,0.927603057753621
ENSG00000250575.1,0.9958032825655455
ENSG00000278757.1,
ENSG00000293331.2,0.882380530402364
ENSG00000225880.7,0.8879783279587481
ENSG00000235146.3,0.8847189659790382
ENSG00000225972.1,0.9680362561485321
ENSG00000225630.1,0.9926356095279419
ENSG00000237973.1,0.9857692415595513
ENSG00000229344.1,0.9934010769168322
ENSG00000240409.1,0.9239707777992672
ENSG00000248527.1,0.9935127244594825
ENSG00000198744.5,0.9781052240013596
ENSG00000268663.1,0.884093572469447
ENSG00000284662.2,0.8663019353702748
ENSG00000230021.11,
ENSG00000229376.3,0.9665702062812316
ENSG00000223181.1,0.5303259138645949
ENSG00000229905.1,0.8682548630887356
ENSG00000237491.11,0.9783699914145677
ENSG00000177757.3,0.9562924264044768
ENSG00000228794.13,0.9860544613088644
ENSG00000297178.1,0.9787593840007657
ENSG00000297224.1,0.8638684895604467
ENSG00000230368.3,0.7803623138887242
ENSG00000234711.1,0.8635224192121698
ENSG00000283040.1,0.8789146414618346
ENSG00000296088.1,0.8981208365925256
ENSG00000272438.2,0.9303761467930582
ENSG00000298603.1,0.8972508411389541
ENSG00000223764.3,0.9396155256801321
ENSG00000187634.13,0.9518192313315295
ENSG00000188976.11,0.9758189075777627
ENSG00000187961.15,0.9696997111816513
ENSG00000187583.11,0.8981881505979188
ENSG00000187642.10,0.9874812483947445
ENSG00000303599.1,0.8125733748916129
ENSG00000272512.1,0.9222153095110074
ENSG00000188290.11,0.9420872098164881
ENSG00000303623.1,0.8993926157489431
ENSG00000187608.10,0.9804636791177112
ENSG00000303614.1,0.9444995414536439
ENSG00000231702.2,0.8128369287762756
ENSG00000224969.1,0.9016945231230018
ENSG00000188157.16,0.9569282963274116
ENSG00000291156.2,0.937906366456178
ENSG00000273443.2,0.9842136335488479
ENSG00000217801.13,0.8580168827823914
ENSG00000304119.1,0.9276521967618535
ENSG00000304169.1,0.7708562225139733
ENSG00000237330.3,0.9540762251302302
ENSG00000131591.18,0.9436415015109655
ENSG00000285812.1,0.9274565643533019
ENSG00000299943.1,0.7411310700147781
ENSG00000223823.1,0.782970306384447
ENSG00000304965.1,0.886087734717993
ENSG00000207730.3,0.6377430716242627
ENSG00000207607.3,0.6291553289370456
ENSG00000198976.1,0.5683747094846048
ENSG00000272141.1,0.9880027633263958
ENSG00000205231.1,0.9408836234565044
ENSG00000162571.14,0.9879362514267638
ENSG00000186891.14,0.9428722737380246
ENSG00000186827.12,0.924516386229719
ENSG00000304412.1,0.2958747170526449
ENSG00000078808.20,0.9440293412877061
ENSG00000176022.7,0.9571381537253325
ENSG00000184163.3,0.9413671669771444
ENSG00000260179.1,0.9411336685868531
ENSG00000160087.21,0.9766195785197965
ENSG00000230415.2,0.91746731080832
ENSG00000162572.21,0.9086045331950077
ENSG00000131584.19,0.880848223219055
ENSG00000278073.1,0.45248093112454546
ENSG00000169972.13,0.9634308659334463
ENSG00000127054.22,0.9713774592703484
ENSG00000283712.1,0.4768074733043741
ENSG00000240731.1,0.9039498641710159
ENSG00000224051.7,0.9675774711847785
ENSG00000169962.5,0.9648571154480833
ENSG00000107404.21,0.9414910609657926
ENSG00000284372.1,0.19039247425464656
ENSG00000304860.1,0.9499302256620488
ENSG00000162576.17,0.9438207509075629
ENSG00000175756.14,0.9380911605523605
ENSG00000223663.2,0.7295218352473718
ENSG00000221978.13,0.9379231660089544
ENSG00000224870.10,0.937333070051551
ENSG00000242485.6,0.9613396272332739
ENSG00000301639.1,0.9737319225941992
ENSG00000272455.1,0.9376729494000764
ENSG00000235098.9,0.9427977763130535
ENSG00000225905.2,0.9540173409991163
ENSG00000205116.4,0.9543687819341935
ENSG00000225285.2,0.9062754006247737
ENSG00000179403.12,0.9425673261223955
ENSG00000215915.10,0.9308556696317236
ENSG00000160072.20,0.966696864076604
ENSG00000290916.2,0.9925417216630024
ENSG00000197785.14,0.9485891192512371
ENSG00000205090.10,0.9699588205315456
ENSG00000299413.1,0.8228537394043266
ENSG00000160075.12,0.9515573228363203
ENSG00000215014.5,0.930309262974099
ENSG00000274481.1,0.7897820289996896
ENSG00000228594.4,0.8722268898110737
ENSG00000286989.2,0.9372939403454048
ENSG00000272106.1,0.9471195553408525
ENSG00000197530.13,0.9633803352244918
ENSG00000189409.14,0.961539394198621
ENSG00000248333.9,0.9575731520609728
ENSG00000272004.2,0.8697499672109632
ENSG00000189339.12,0.9640940119257515
ENSG00000293187.1,0.9702413972246554
ENSG00000269737.3,0.9240840518918593
ENSG00000310190.1,0.9437857444069362
ENSG00000310238.1,0.72924261016506
ENSG00000008128.23,0.9586269750129466
ENSG00000293188.2,0.9730913207165265
ENSG00000290854.2,0.9414115852232312
ENSG00000227775.4,0.9294694254033359
ENSG00000008130.15,0.9261316893859682
ENSG00000302550.1,0.9338663131582084
ENSG00000078369.19,0.9273617187066221
ENSG00000231050.4,0.9237950890778557
ENSG00000303984.1,1.9283082797194595e-08
ENSG00000294910.1,0.8572936048557666
ENSG00000306476.1,0.8004060199055578
ENSG00000169885.10,0.9397583293143361
ENSG00000178821.13,0.9839521776185535
ENSG00000142609.20,0.9751927296294535
ENSG00000233542.3,0.9982332268823982
ENSG00000187730.9,0.9607289028665396
ENSG00000304958.1,0.693851212660081
ENSG00000226969.2,0.7700552613134055
ENSG00000067606.17,0.9591196366860526
ENSG00000308181.1,0.7936731540480482
ENSG00000271806.1,0.9099004256627842
ENSG00000182873.5,0.9629693552031502
ENSG00000162585.17,0.9457731512817229
ENSG00000304038.1,0.9417569512367261
ENSG00000234396.3,0.8781059104146199
ENSG00000304143.1,0.9258499596002461
ENSG00000157933.11,0.9681375400365952
ENSG00000295493.1,0.9188934879461481
ENSG00000287356.2,0.9554409862844386
ENSG00000116151.14,0.9546719329678246
ENSG00000272161.1,0.8795827359145924
ENSG00000292993.1,0.9318350042308396
ENSG00000272420.1,0.9386652196238037
ENSG00000295371.1,0.8678937714874879
ENSG00000157916.20,0.9736132992821931
ENSG00000157911.11,0.9530383494735755
ENSG00000149527.18,0.9314699512449958
ENSG00000224387.1,0.7418384734008991
ENSG00000229393.1,0.7585082782201683
ENSG00000157881.16,0.9656433905066119
ENSG00000197921.6,0.9500532259695252
ENSG00000272449.4,0.9493711721993187
ENSG00000238164.7,0.9782166956101639
ENSG00000307979.1,
ENSG00000157873.18,0.9566690588469223
ENSG00000225931.3,0.9244339567927803
ENSG00000307958.1,0.9747896927748041
ENSG00000228037.2,0.9504048450002879
ENSG00000289610.3,0.8635228618334633
ENSG00000157870.17,0.9437960268923086
ENSG00000142606.16,0.9244049648386895
ENSG00000237058.2,0.9728297631499636
