gene,wormbasegeneid,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
w1_Y110A7A.10.1,WBGene00000001,aap-1,-0.1053730652810062,11.193244012848297,5.17562679432938,0.2629245824477854,281.0662684511093,1.370246934752776,0.3897162763514401,4.526889483,5.430377288,5.140801495024154,0.1575309660764481,-0.6002096987450878,0.2212426879765017,5.430377288,11.16783225209159,4.352286000202652,207,True
w2_F27C8.1.2,WBGene00000002,aat-1,-0.2239891549711795,13.461377515159876,1.1385814583159648,1.2371449162082244,365.7938484978167,3.7979180646348,0.0,-0.961479686,4.460975721,1.066481504884058,0.8310621047117419,0.0822442765230286,0.6367224852205569,4.460975721,13.451448092922416,0.0,207,True
w3_F07C3.7.1,WBGene00000003,aat-2,0.3833924416819711,12.35635566792747,1.2831624919943605,0.4653166651856257,164.28355526402868,4.097288732894018,0.0,0.527333973,2.631287542,1.3427261404444444,0.3615324687700417,0.6911433752930052,0.7548297254169261,2.631287542,12.353535742327786,0.0,207,True
w4_F52H2.2a.1,WBGene00000004,aat-3,0.7316646131420048,12.160779183610485,1.964005699952448,0.356700388162122,137.9998211626343,3.638186908654608,0.0,1.15265057,2.881648351,1.974418539294686,0.3017239664682424,0.1794582067259204,0.326578399485554,2.881648351,12.144528178439082,0.0,207,True
w5_F52H2.2b.1,WBGene00000004,aat-3,1.0958841496102218,9.41904347094887,1.5159016221334929,0.4948048181860179,146.26258556069797,1.742568882657484,0.218539736590073,0.182799147,2.125591348,1.411399844405797,0.3949852361877993,-0.5744559453914764,-0.0467647137572502,2.125591348,9.412412114783656,2.056986064242033,207,True
w6_T13A10.10a.1,WBGene00000005,aat-4,-0.0358827712435646,10.68286015702996,2.2662290662963804,0.4698994024015251,153.16877555085338,2.326024884353301,0.0504890221176033,1.319337801,3.039095154,2.2548990050246305,0.3189895493922905,-0.1667377410083133,-0.2151030892216923,3.039095154,10.498687345606951,0.5300684575981517,203,True
w7_C55C2.5a.1,WBGene00000006,aat-5,-5.26329247792604,13.273853572188354,2.1600127876117297,1.5660376344526732,124.49357507952152,1.0561549203403513,0.326911999538001,0.58757336,3.329552097,2.1168580904492758,0.6099483635777825,-0.1821389917740635,-0.791655366910291,3.329552097,8.430490254116076,2.756028426058717,207,True
w8_T11F9.4a.1,WBGene00000007,aat-6,-0.948645305385744,12.363477597567195,2.7750224100957497,0.99028062581913,329.1726161996979,2.0869966463095198,0.0986482126926656,0.765020656,4.236408724,2.77872273331401,0.5782579512643319,-0.1283371887886266,-0.2259844023079127,4.236408724,12.162587223218694,1.1998174912891753,207,True
w9_T11F9.4b.1,WBGene00000007,aat-6,-1.9614607162922817,10.377745436697772,-0.637439254321412,1.6274561606263993,427.3917102416689,1.9318497359393323,0.0,-0.999999985,1.585704999,-0.1549609638737374,0.5648806594452506,0.4580535349268905,-0.2783511627442601,1.585704999,8.771913513093114,0.0,198,True
w10_F54D12.3.1,WBGene00000008,aat-7,0.1225446130534721,10.2853748247216,-0.1832904763029131,0.7033612391765524,281.0882798425353,3.336403911811938,0.0,-0.878805167,1.47607502,-0.0798441818585366,0.4379362113212083,0.5155849562940817,-0.1506924752687624,1.47607502,10.246015146640447,0.0,205,True
w11_F28F9.4.1,WBGene00000009,aat-8,1.071716522188748,17.067304115075512,-0.4064042169877511,0.2393335474623759,238.5699430549535,8.040349716210425,0.0,-0.789771498,0.954299337,-0.3183878146425121,0.2878853971712899,1.6692658410273524,4.049409132130688,0.954299337,17.067024423819284,0.0,207,True
w12_Y53H1C.1a.2,WBGene00000010,aat-9,0.3055303927234296,39.05187028185407,4.415514246668393,0.2007995812909019,157.50921790224578,3.997169637013742,0.0003392830020705,2.128847229,4.983059355,4.389266865642512,0.2437251161963785,-4.519812141219689,37.24207661260986,4.983059355,39.05161374892625,0.0132495487484343,207,True
w13_Y53H1C.1b.1,WBGene00000010,aat-9,0.5632491289512578,16.50330615495564,1.827617863403756,0.3781205056794341,159.54109659016018,5.317414981977132,0.0,0.851309631,3.249343475,1.7919294892028987,0.3333958170147179,-0.1370389418417677,1.5934939784966184,3.249343475,16.50326295326244,0.0,207,True
w14_C50F2.9.1,WBGene00000012,abf-1,0.5081369615551257,11.34051280049115,1.6579715418467913,0.6649700095456497,261.3497098792806,2.629561884888042,0.028843608480077,0.043321982,2.89440417,1.6215689535700484,0.5093397739443555,-0.1562332827235502,-0.1212016498477215,2.89440417,11.309288474718173,0.3262006889530181,207,True
w15_C50F2.10.1,WBGene00000013,abf-2,0.3376022478752361,13.650645903813812,1.859799623512565,0.9798443556691194,114.9513647871666,3.267164177568108,0.0040861364084002,-0.774436544,4.123469315,1.8983781324251208,0.7675778818123831,0.0255916519268245,0.5105941303612718,4.123469315,13.640707926637852,0.0557377932953889,207,True
w16_Y38H6C.22.1,WBGene00000015,abf-4,-0.5346898639356109,13.494698649112715,-1.801027392831945,2.5074412928393524,186.02057372537507,2.6659139922248665,0.0,-0.915229059,2.925714738,0.0786249699881656,0.7555164105064337,0.8886847867969334,0.5123997517731449,2.925714738,11.525176551837864,0.0,169,True
w17_T22H6.5.2,WBGene00000016,abf-5,0.1593185717794197,11.904132694236518,2.260880478120113,1.0164269167437812,196.2530966918181,2.9631752654097543,0.0001858092674204,0.127565711,4.390580814,2.218471785724638,0.7417967283939141,-0.1062281086594477,0.1867994769734791,4.390580814,11.758692390906802,0.0021848740189766,207,True
w18_T22H6.7.1,WBGene00000017,abf-6,0.1901344050078812,9.778038450392556,2.3429545929897677,1.2018243279376966,163.17873609055047,2.290558562508586,0.0347757203981256,0.179523537,4.289512792,2.2833475937004835,0.8277449857614952,-0.1488316894348336,-0.3343749958172779,4.289512792,9.395231860449602,0.326725956254557,207,True
w19_M79.1a.1,WBGene00000018,abl-1,0.4205282120706253,8.27131470223905,-0.0588198965634348,0.7449351314169138,211.55373582766413,2.374807336038605,0.0,-0.999999995,1.19210674,-0.0578952929613526,0.4884808252836166,-0.0425880000525147,-0.5234034512622459,1.19210674,7.778217173936428,0.0,207,True
w20_M79.1a.2,WBGene00000018,abl-1,2.8824391185202813,16.19668962670101,-0.651459814862474,0.1869323005111386,305.67706751234743,15.004155875236489,0.0,-0.999753181,1.331805973,-0.3313002524492753,0.442589778632575,1.0651604579981633,0.8882066159428113,1.331805973,16.19507224471179,0.0,207,True
w21_M79.1b.1,WBGene00000018,abl-1,-0.2163509866130078,14.093356268273626,1.9743902092310537,0.4817357383637976,196.54885777790992,2.0201061945050527,0.1299187209909723,0.478649849,2.66251637,1.9578842552657003,0.3159383364293557,-0.5386517486299576,1.4038381126357455,2.66251637,14.092385842723075,1.830864744397868,207,True
w22_M79.1e.1,WBGene00000018,abl-1,-0.0535987512731995,11.446552423506914,0.3439236585227535,0.652578405359846,134.2426563275373,2.534780104214618,0.026234837404432,-0.999938937,1.51357922,0.2936891629468599,0.4486943335932362,-0.3538832680542641,-0.0335500942737732,1.51357922,11.281730043849086,0.2959743533410771,207,True
w23_C24F3.5a.1,WBGene00000019,abt-1,-1870.6257297764976,1877.136915696156,-0.3926184665530621,45.46609865645604,248.52530978550973,0.0735861403993956,0.0,-0.953418781,1.973130815,0.2837121956634146,0.7698409745523522,0.2732502459823088,-1.1163357521132649,1.973130815,5.075398331533734,0.0,205,True
w24_F12B6.1a.1,WBGene00000020,abt-2,-0.1434008208502127,11.974886697310376,0.9787202678666844,0.5708973495561558,243.04959843438837,3.466680822229067,0.0,0.144361948,2.378168658,1.0012545278260867,0.3769300914284383,0.3011346680435661,0.0819533356677335,2.378168658,11.945432146224077,0.0,207,True
w25_F12B6.1b.1,WBGene00000020,abt-2,1.1339718488940629,8.41609579165497,0.2504159247247554,0.7106856117086827,343.5346380595895,2.6811094969567457,0.0,-0.999288886,1.59775553,0.3064173788647342,0.5508734833209077,0.170244086403771,-0.4281969081467123,1.59775553,8.184774984347378,0.0,207,True
w26_F55G11.9,WBGene00000021,abt-3,0.3687017538439808,40.75048269398891,-1.4614478669980404,0.5567766414984965,89.61617221769079,3.872573440226808,0.0,-0.999931339,0.063186383,-0.7818607934974618,0.2017467143948119,1.549096187597773,2.465395588056916,0.063186383,20.476494595622054,0.0,197,True
w27_Y39D8C.1.1,WBGene00000022,abt-4,-0.5220685823662321,11.233181042711337,-1.2713308716438725,1.9500962416526977,185.74122405952204,2.22720594503058,0.0,-0.999833848,1.799821929,-0.1146247364902912,0.6539466707008823,0.7770599168205564,0.1058774958343526,1.799821929,10.077053419916762,0.0,206,True
w28_Y39D8C.1.2,WBGene00000022,abt-4,1.5152704446535077,11.011864124601765,2.6509707247024537,0.5845309270521636,173.25096480987483,3.590892752743719,0.001252223140369,0.99692768,4.135179281,2.57251352045631,0.5881026200649228,-0.1518534351035731,0.0692792114711768,4.135179281,11.008121097519206,0.0137846239702987,206,True
w29_Y53C10A.9.1,WBGene00000023,abt-5,1.9184518593479924,5.392161508132919,0.1654356702700083,1.1688813585358686,173.7218049313012,2.430874131519806,0.0,-0.868515216,2.174611323,0.4626954310144927,0.760273081023828,0.3087021896955774,-0.966039081560488,2.174611323,5.111201966537293,0.0,207,True
w30_AC3.3.1,WBGene00000024,abu-1,0.6279821394417482,3695576163983.457,-54.11718673974576,10.442388666297353,194.30895691737567,7.838043788292039,0.0,-0.999641535,3.758018108,0.1239247938780487,1.0535786297139442,1.319804095283536,1.379988439474903,3.758018108,21.23144529607657,0.0,205,True
w31_F19G12.7.1,WBGene00000025,abu-2,0.8273975642108361,57.4516468752684,-1.192990561400619,0.2908870615596868,243.04834914221576,7.493342204756007,0.0,-0.991943731,0.348301612,-0.8018865111797752,0.2346087515825189,2.3478584688815283,5.951646166910173,0.348301612,35.632360136461635,0.0,178,True
