gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,2.450032320651499,76.77702234949783,-0.9743920413327777,0.01705629228583305,1700.5999057227543,21.976872947549534,0.0,-0.9895982470038734,-0.7093373293039791,-0.9576196677586926,0.03511719801405126,3.2049948592633912,13.440264918500905,-0.7093373293039791,76.7625878761236,0.0,396,True
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,1,False
ENSG00000310526.1,WASH7P,2.052981057804925,64.64035492231197,-0.2151067867685127,0.43334134071951597,1538.7210622191806,6.653886162164829,0.0,-0.799204399955256,1.82376769953545,-0.11856326222385273,0.35679738643692127,1.014074945195703,1.6298502913646988,1.82376769953545,64.63935837931811,0.0,818,True
ENSG00000243485.6,MIR1302-2HG,1.248047825727475,45.754673307588874,-0.9585376326451599,0.016901451134140818,401.43134956954304,29.241902919657985,0.0,-0.9864905742163574,-0.6090638286769993,-0.943424891891645,0.0378733333126419,4.4355371239960455,31.52722535306166,-0.6090638286769993,45.74629110214082,0.0,194,True
ENSG00000237613.3,FAM138A,3.958515894941757,90.03381590098172,-0.9732108180014843,0.011897262970653055,1848.4910439669823,31.7721447437374,0.0,-0.9885845131131282,-0.7059233508076346,-0.9530959748387219,0.03796889158817477,2.880326916674448,10.687128597071169,-0.7059233508076346,90.00872543768544,0.0,419,True
ENSG00000308361.1,ENSG00000308361,0.31465283786629666,3.8765437247381076,-0.861315312505629,0.04066126887682141,38.53011508548144,5.130589132399071,0.0,-0.9544354118180248,-0.7138013374176573,-0.8531380795638417,0.04530361298951632,0.8318677092432057,1.4302803621547584,-0.7138013374176573,3.8765211087973106,0.0,59,True
ENSG00000290826.2,ENSG00000290826,3.9776374048833683,108.9549651266921,-0.9258851998873296,0.03320956817743679,2471.1964407237365,34.80077343414444,0.0,-0.9718552322866212,-0.1086686996796678,-0.8747758777703718,0.09921827305194188,3.1144112379266837,13.856695543955777,-0.1086686996796678,108.95293254629556,0.0,450,True
ENSG00000268020.3,OR4G4P,3.4052819629660673,114.41103769948624,-0.9337718347802012,0.0412483461047351,4394.189246754731,27.793700653270257,0.0,-0.9818615258915252,-0.123113377967127,-0.8889473026317342,0.09490164030449473,3.507411373021951,17.927956571300918,-0.123113377967127,114.38228487623194,0.0,508,True
ENSG00000186092.7,OR4F5,3.858492377878088,195.7083915934923,-0.9499619708235377,0.07754349513656655,1718.193757592801,23.113366877686357,0.0,-0.989122791567106,0.3173793273761693,-0.8699628714896407,0.15518736859400004,3.081488424514571,12.128781050778676,0.3173793273761693,195.70806821721763,0.0,785,True
ENSG00000241860.8,ENSG00000241860,1.4081501467292152,112.59763717923822,-0.9596739952476092,0.03695107186509857,1667.5974154572627,12.330743977444737,0.0,-0.996652506030658,-0.6374919578358599,-0.9497249556176284,0.03216326698190267,2.6544390652444467,16.367467395937336,-0.6374919578358599,112.59444639175415,0.0,814,True
ENSG00000308314.1,ENSG00000308314,0.515634676371022,7.959039013709399,-0.9752368686631475,0.008478068816127898,41.92266633240576,12.8265138841484,0.0,-0.9884914800139536,-0.8983432012043557,-0.9674306926694796,0.0178723978643864,1.9461105201406328,3.651999192390706,-0.8983432012043557,7.959026120225207,0.0,73,True
ENSG00000233750.3,CICP27,2.233264589651632,43.34207938734791,-0.9834084635053083,0.01306751642463389,1253.348809963769,10.807466275677664,0.0,-0.9945137765259956,-0.8835460757983825,-0.9747560320439299,0.017612540458943702,2.2085738679329494,5.958007743882186,-0.8835460757983825,43.34205409401659,0.0,410,True
ENSG00000308579.1,ENSG00000308579,1.6536575920961423,51.23466004511079,-0.5682010357386443,0.7028789404222624,889.3501046135761,4.847909359838141,0.0,-0.9154771399666436,1.8412606500822153,-0.30087670806855576,0.4470219505002147,1.163199562661146,1.6238127606517514,1.8412606500822153,51.23379519336753,0.0,768,True
ENSG00000268903.1,ENSG00000268903,1.7543346452926487,57.014682021902516,-0.8324432397026056,0.07462404123094772,465.2199601450989,27.39220503180299,0.0,-0.9482019397611784,0.6129657791939087,-0.7472410709675632,0.18629114907934147,3.0691638238407375,13.860250499430844,0.6129657791939087,57.00269836390897,0.0,261,True
ENSG00000269981.1,ENSG00000269981,1.0042079446553545,52.19191559047341,-0.3998184425948639,0.7777482835467779,692.6093024926713,5.098260149943795,0.0,-0.9035977980302518,2.403975260274211,-0.1780493787328498,0.49291173586583076,1.1021823120449104,1.8429846808464942,2.403975260274211,52.19165284347252,0.0,754,True
ENSG00000239906.1,ENSG00000239906,0.5110577726490108,2.691879564069523,-0.8705462706120607,0.0480698912343013,32.29771973774084,5.0023793099766145,0.0,-0.9396910866908056,-0.7005126662533321,-0.8490784511130689,0.05340957896985538,0.9489923595329937,0.5130794790427027,-0.7005126662533321,2.6918644877703404,0.0,58,True
ENSG00000222623.1,RNU6-1100P,,,,,,,,,,,,,,,,,0,False
ENSG00000241599.1,ENSG00000241599,0.03616224463121027,1.3675789039139186,-0.9155362869820539,0.04019495174326636,10.533240770096103,4.511674587504621,0.0,-0.93995676797644,-0.787304917158557,-0.9021736606743194,0.032880880578817606,1.9403387046391016,4.843036840064262,-0.787304917158557,1.3675252362326227,0.0,22,True
ENSG00000308415.1,DDX11L2,0.7625656262648857,4748.52359083707,-1.3676367732403105,0.2528683690470823,257.12636450028043,14.541293075569442,0.0,-0.9890884273667616,1.2324182408586195,-0.8947166090204446,0.19564125850037187,7.530666078765722,66.14400690568826,1.2324182408586195,504.9846129596036,0.0,673,True
ENSG00000310527.1,WASH9P,2.5959939069762252,55.188344976409724,-0.19962772489573158,0.43499739274540444,1101.8141880552557,5.5676865353188045,0.0,-0.8176890819743037,1.5129347839967022,-0.10284011477465811,0.37726481974807785,1.0286366966259168,1.3878686507462161,1.5129347839967022,55.18823490449852,0.0,818,True
ENSG00000308625.1,ENSG00000308625,1.0657165228313106,19.266554358615444,-0.8282931931395794,0.05790202855810862,213.62287782459646,16.015637214259346,0.0,-0.9228568308133336,-0.1725662873671234,-0.7710048316766623,0.12233500912916707,2.2792500131917373,6.075725892176575,-0.1725662873671234,19.264340129489042,0.0,147,True
ENSG00000308544.1,ENSG00000308544,,,,,,,,,,,,,,,,,8,False
ENSG00000292994.2,ENSG00000292994,2.1317641016204107,104.86823446691628,-0.8826293482631402,0.14363365589765348,1092.551065892887,11.398471315312381,0.0,-0.9958021000249304,0.2750487777446262,-0.8306733989254005,0.12774761210009428,2.165024682927692,9.911548170379595,0.2750487777446262,104.86554904313988,0.0,815,True
ENSG00000286448.2,ENSG00000286448,0.4523741168626255,105.53861559419943,-1.029486578635789,0.061865986773880194,422.3709827418065,6.09490488850467,0.0,-0.9907015634187416,-0.7628597301507859,-0.9631656438670525,0.0283250252463396,2.758062590864098,12.038569407322917,-0.7628597301507859,71.23956826470086,0.0,399,True
