gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success,r_squared
ENSG00000290825.2,DDX11L16,0.610519054990875,16.096174526555167,-0.979325738868429,0.00661732175822024,68.7515298263628,20.2048255469231,0.0,-0.991257840133984,-0.8847842670073174,-0.9725549377424422,0.01602006240233602,2.567039172396977,9.02608735979974,-0.8847842670073174,16.09598506005599,0.0,95,True,0.9084990453151053
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,0,False,
ENSG00000310526.1,WASH7P,0.8895711166706384,30.674981333637774,0.030656033731048596,0.5118879006571004,328.7685712925268,7.227271767217913,0.0,-0.680338138254218,2.6466350278735904,0.14374614766285942,0.4418856636162818,1.3435267627847232,3.905253450127316,2.6466350278735904,30.674980979397343,0.0,362,True,0.9329577333770006
ENSG00000243485.6,MIR1302-2HG,0.4484370247603788,9.895096095534148,-0.9582857638330547,0.0163601661287959,53.73233965385123,13.521904289988278,0.0,-0.9848807095025572,-0.8018591770375845,-0.948127013915116,0.029973094508349063,2.344276345326581,7.0891614055249335,-0.8018591770375845,9.895090301076765,0.0,80,True,0.8643122736013857
ENSG00000237613.3,FAM138A,0.5197139637885504,9.305698889130754,-0.9750677907404672,0.009939569752854783,82.27831298854016,10.323335926468399,0.0,-0.9910986772100766,-0.902511905085473,-0.9698049591527845,0.014599146412520081,1.99352013399883,5.154905959388628,-0.902511905085473,9.30537492332496,0.0,94,True,0.8108979246413694
ENSG00000308361.1,ENSG00000308361,,,,,,,,,,,,,,,,,7,False,
ENSG00000290826.2,ENSG00000290826,1.2780877129266264,10.743172088285737,-0.9371482943307172,0.01712951154776929,114.33844238205458,13.263676306184548,0.0,-0.9743503067754652,-0.7764934240214459,-0.9166475108981235,0.0396342006153218,1.573066839281305,2.4415884585819994,-0.7764934240214459,10.742615988413686,0.0,117,True,0.7743802626766225
ENSG00000268020.3,OR4G4P,1.1614202050606763,18.45918346292809,-0.9474710075899495,0.01471994070406744,124.8308263541247,20.340389535886594,0.0,-0.9808888042005608,-0.7357566415054763,-0.9302916113411756,0.03968867543530782,2.1178640061279275,5.541142849593923,-0.7357566415054763,18.457525012304476,0.0,125,True,0.8747150155773431
ENSG00000186092.7,OR4F5,2.027128709107017,32.25763808582587,-0.9777708039875741,0.027064877905793375,1244.0274247687912,11.11530849470929,0.0,-0.9936402117597832,-0.7650487121489659,-0.9551672549702035,0.035198166504969874,1.815029514679038,4.0885974507810205,-0.7650487121489659,32.25652884578178,0.0,297,True,0.7747051582563957
ENSG00000241860.8,ENSG00000241860,0.7293315465527221,41.10794269319833,-0.9441341403866477,0.04422763572515588,415.4804702799752,10.177361201634486,0.0,-0.9978174115109856,-0.6258507948967995,-0.9339039923936281,0.039463180721038556,2.1278906645004287,10.984594257468203,-0.6258507948967995,41.10630628851294,0.0,361,True,0.9457807874513521
